Id;PageItemID;XCoordinate;YCoordinate
550;418;266,0406494141;353,5985412598
551;190;306,1882629395;351,7991943359
552;888;228,3601684570;359,1506652832
553;968;277,1383361816;371,6004943848
554;107;192,9906616211;375,0985412598
555;891;333,3110961914;379,0515441895
556;855;346,4406738281;387,6985168457
557;873;289,6383361816;396,9504699707
558;568;369,4906616211;400,8985290527
559;883;253,5630493164;403,9994506836
560;946;683,4145507813;405,0010681152
561;1035;266,5360107422;420,9507446289
562;27;118,5014190674;431,3000183105
563;794;685,8907470703;432,0998535156
564;768;348,5610961914;434,6015319824
565;916;591,4415283203;435,0007934570
566;63;140,4003295898;439,2506103516
567;418;283,8009338379;441,7499084473
568;1011;342,4014892578;441,3495483398
569;429;684,2402954102;449,4988403320
570;969;294,1140136719;453,9500427246
571;902;207,5383300781;459,2005004883
572;418;310,0383300781;462,4505004883
573;211;684,9556884766;467,4999389648
574;606;597,6868286133;477,3491516113
575;87;681,0576782227;480,8003540039
576;953;345,7360229492;491,0007629395
577;875;596,4874267578;492,5509643555
578;205;372,1140136719;504,2000427246
579;110;400,7383117676;503,5004882813
580;927;419,0376281738;502,9005432129
581;963;479,3383178711;502,9004821777
582;338;462,2249755859;513,1495361328
583;103;665,9860229492;87,3500518799
584;437;677,2360229492;93,2500457764
585;1077;707,3623046875;109,1994857788
586;46;733,2843017578;122,4998016357
587;909;475,8362731934;182,6481933594
588;1076;701,2307739258;181,1983947754
589;1211;606,5062255859;227,5007629395
590;910;438,9066467285;254,1488952637
591;113;492,6766967773;252,5493621826
592;905;507,5549926758;262,8002014160
593;908;514,8662109375;287,3999938965
594;501;329,9807128906;315,8503723145
595;913;440,3662109375;314,7499694824
596;908;554,7645263672;314,1510925293
597;33;363,6101684570;322,1506652832
598;912;455,4145812988;325,3010559082
599;1137;720,0407104492;331,5486450195
600;447;381,3110961914;336,3515319824
601;908;590,7178344727;338,7486877441
602;1077;658,8330688477;352,3007812500
603;244;421,8314819336;375,5998535156
604;208;714,6145629883;385,4510803223
605;441;441,5549926758;388,4501953125
606;109;451,4307556152;395,0483398438
607;104;341,0830383301;428,3007812500
608;438;351,9824523926;433,7999572754
609;739;564,8645629883;434,0510559082
610;411;574,8907470703;449,8998718262
611;908;614,2915649414;451,1988525391
612;989;517,5106811523;456,0997924805
613;912;635,5402832031;465,3488464355
614;545;176,6830444336;473,1507873535
615;911;654,1310424805;471,5502014160
616;919;191,9096984863;484,1990051270
617;45;413,4407043457;486,9486694336
618;442;208,9692382813;496,0995788574
619;913;681,3761596680;497,4996948242
620;99;376,3769226074;500,9491271973
621;986;487,4519958496;502,6489562988
622;534;391,9279479980;506,8479614258
623;112;383,1101989746;102,8017730713
624;52;342,6074218750;118,7490921021
625;111;256,0109863281;125,0019683838
626;443;245,5360260010;131,8507690430
627;920;232,2883300781;135,9505004883
628;990;410,9554443359;136,7485046387
629;863;566,2892456055;135,3493347168
630;919;217,7609863281;140,9519500732
631;98;549,7098999023;143,0020599365
632;98;533,6369628906;149,1496582031
633;863;514,3392333984;158,1493530273
634;50;170,1148223877;161,3490600586
635;925;352,9364624023;165,5498962402
636;242;493,5066528320;165,4488830566
637;984;664,8112792969;169,3999633789
638;51;393,6823120117;173,3496551514
