Id;SectionId;PartId;PartNumber;PageNumber;StartPageNumber;Additional_Info;Quantity;Remarks
1209;21;262;3468-229;57;56;;1;AP.LTD
1210;21;260;3437-307;57;56;caliper halves;2;AP.LTD
1211;16;695;6405263;45;44;;0;Girling
1212;31;337;51271406;81;80;;1;Lucas
1213;31;697;643;81;80;;1;Lucas
1214;33;98;144921;85;84;;1;Lucas
1215;33;339;534296;85;84;;1;Lucas
1216;33;353;554602;85;84;UK-USA-Canada;1;Lucas
1217;33;351;553783;85;84;Europe;1;Lucas
1218;27;349;54584931;73;72;;1;Lucas
1219;27;347;54583924;73;72;;1;Lucas
1220;33;341;54130041;85;84;;1;Lucas
1221;33;343;54580300;85;84;;1;Lucas
1222;33;345;54580322;85;84;;1;Lucas
1223;33;405;573832;85;84;;1;Lucas
1224;32;1010;83205;83;82;headlamp - CANADA ONLY (Not illustrated) ;1;Lucas
1225;3;1376;NoPart#1;15;14;Reference only;1;
1226;10;461;57-7001;33;32;;1;
1227;10;378;57-1614;33;32;;1;
1228;10;464;57-7009;33;32;;1;
1229;10;357;57-0045;33;32;;1;
1230;10;377;57-1607;33;32;;2;
1231;10;369;57-0989;33;32;;4;
1232;10;215;21-2149;33;32;;2;
1233;10;184;21-1907;33;32;;1;
1234;10;727;70-3446;33;32;;1;
1235;10;115;14-6608;33;32;;1;
1236;10;119;14-7023;33;32;;1;
1237;10;457;57-4889;33;32;;1;
1238;10;474;57-7019;33;32;;1;
1239;10;466;57-7011;33;32;;1;
1240;10;1378;NoPart#3;33;32;;2;
1241;10;411;57-3989;33;32;;1;
1242;10;475;57-7020;33;32;;1;
1243;10;429;57-4459;33;32;;1;
1244;10;422;57-4400;33;32;;1;
1245;10;409;57-3978;33;32;;1;
1246;10;467;57-7012;33;32;inner cover to crankcase;1;
1247;10;415;57-4364;33;32;;1;
1248;10;416;57-4366;33;32;;1;
1249;10;444;57-4660;33;32;;1;
1250;10;278;37-3761;33;32;;1;
1251;10;470;57-7015;33;32;;1;
1252;10;471;57-7016;33;32;;1;
1253;21;515;60-2331;59;56;Caliper to outer member;2;
1254;21;85;14-1303;59;56;Caliper to outer member;2;
1255;21;300;37-4263;59;56;;1;
1256;21;228;21-2196;59;56;Cover attachment;2;
1257;21;598;60-4156;59;56;;1;
1258;21;632;60-4266;59;56;;1;Girling part
1259;21;196;21-1998;59;56;Stop switch to lever body;1;
1260;21;254;21-7008;59;56;;1;
